Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price
5/24/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,27,1.93
5/24/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,73,1.77
5/31/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"9,789",1.2
5/31/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,"1,266",1.39
5/31/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,23,1.25
5/31/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,165,1.38
6/7/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,692",1.2
6/7/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,3,2.98
6/7/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,323,1.38
6/7/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,129,1.25
6/7/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,64,2
6/14/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,419",1.51
6/14/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,571,2.65
6/14/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,88,1.1
6/21/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,597",1.48
6/21/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,21,2.98
6/21/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,103,1.33
6/21/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,45,1.16
6/21/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,Y,,each,9,1.99
6/28/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,160",1.56
6/28/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,710,2.51
6/28/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,263,2.24
7/5/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"2,308",2.1
7/5/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,34,0.89
7/5/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,17,3
7/5/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,37,1.84
7/5/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,per pound,34,0.5
7/12/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"2,013",1.25
7/12/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,"1,511",1.56
7/19/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"1,974",1.35
7/19/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,34,0.59
7/19/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,8,3.5
7/19/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,"1,660",1.56
7/26/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,737",1.29
7/26/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,24,1
7/26/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,11,3.36
7/26/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,"1,478",1.53
8/2/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,790",1.06
8/2/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,34,0.59
8/2/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,82,1.69
8/2/2019,NATIONAL,FRUITS,AVOCADOS,VARIOUS GREENSKIN VARIETIES,,,each,"1,746",1.56
8/9/2019,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,657",1.36
8/9/2019,NATIONAL,FRUITS,AVOCADOS,HASS,Y,,each,57,1.67
